symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
NDUFS8	0.46513396435907023	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	0.10393110582995126	No data	1	0	0	0	0	0	0.5	No data	-0.21244009168576783	-0.4025761376112691	0	No data	No data	No data	-1	-1
MTOR	0.4649314571933549	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	0.09726892761785938	No data	No data	1	0	0	1	1	0	0.8999600000000001	1	-0.9059178995624089	-0.9212131428276576	-1	-1	-1	0	-1	-1
NDUFC2	0.46485266982471946	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7646473441565834	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0	No data	-0.1364867680766827	0	0	No data	No data	No data	-1	-1
COPG1	0.46449941834322844	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	0.08305550556969966	No data	No data	0	0	0	0	0	0.8627000000000002	No data	-0.6308605959574911	-0.5516572839837997	-1	No data	No data	-0.5165900000000001	-1	-1
PTPN1	0.4643770874113278	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	0.07903100368951074	No data	No data	No data	0	0	1	1	0	0.12643500000000002	0	-0.6489893727859971	-0.3096614885205676	0	-1	No data	0	-1	-1
BMP2K	0.46410074254090683	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	0.06993967712712344	No data	No data	0	0	1	1	0	0.05253999999999977	1	-0.650968951864972	-0.011491042657841566	0	No data	No data	0	-1	0
NAGPA	0.4638903158507464	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	0.0630169585878708	No data	No data	0	0	0	0	0	0.038835000000000265	No data	0.46843092310898093	0	0	No data	No data	0	-1	0
CLTC	0.46380269366874743	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	0.06013432186858659	No data	No data	0	0	0	1	1	0.9910449999999997	No data	-0.9765576161700354	No data	-1	No data	-1	-0.573135	-1	-1
SCD	0.4637268641342689	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	0.030396539880581056	0.04413007206341658	No data	No data	0	0	1	1	0	0.15041999999999972	0	-0.7379662429672849	-0.9247071369577022	-1	-1	No data	0	0.5	-1
SF3B1	0.46322038665797466	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	0.04097730554171082	No data	No data	0	0	0	0	0	1	No data	-0.9948947697436966	-0.55892245000588	-1	No data	-1	No data	-1	-1
PPP1R10	0.4629807551597231	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	0.03309379316849381	No data	No data	0	0	0	0	0	0.49468000000000034	No data	-0.9381121066888936	No data	-1	No data	No data	0	-1	0
NDUFA5	0.4627314105893988	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7581495269560674	No data	No data	No data	No data	No data	No data	0.060170136644136514	No data	1	0	0	0	0	0	0.13793000000000005	No data	0.5175036465930403	No data	0	No data	No data	No data	0.5	-1
COPZ1	0.462619578620024	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	0.021211633517492227	No data	No data	0	0	0	0	0	1	No data	-0.6989997916232549	No data	-1	No data	No data	-0.32203499999999996	-1	-1
PXK	0.462590500523488	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	0.020255008301260435	No data	No data	1	0	0	0	0	0.6193750000000001	No data	-0.5241717024380079	0	0	No data	No data	0	0.5	-1
NUP93	0.46237481203932757	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	0.013159184730293327	No data	No data	0	0	0	0	0	0.8840049999999998	No data	-0.42477599499895813	-0.022060910089015118	-1	No data	No data	No data	-1	-1
